iter	RMSE
0	15.71672155
1	15.13875952
2	14.60073708
3	14.09087254
4	13.59295443
5	13.09455427
6	12.63123744
7	12.18429802
8	11.75692574
9	11.35037531
10	10.9726343
11	10.60584823
12	10.22806729
13	9.881591189
14	9.548160853
15	9.228430938
16	8.909943496
17	8.603942103
18	8.317618808
19	8.045560662
20	7.779364824
21	7.532990505
22	7.290820806
23	7.057066187
24	6.830968421
25	6.621587279
26	6.415526728
27	6.218633714
28	6.041109176
29	5.854569409
30	5.674475542
31	5.50488476
32	5.342293333
33	5.188260145
34	5.03765532
35	4.897245354
36	4.758741093
37	4.62854288
38	4.506414614
39	4.384791459
40	4.275671004
41	4.165594805
42	4.063942125
43	3.961781882
44	3.863711852
45	3.775787135
46	3.687698341
47	3.602530698
48	3.52249635
49	3.439253012
50	3.367251654
51	3.303235333
52	3.23530213
53	3.170208587
54	3.111317053
55	3.049576391
56	2.989841309
57	2.935106459
58	2.881516376
59	2.82839364
60	2.776127265
61	2.730207589
62	2.686910367
63	2.639991924
64	2.598958267
65	2.559519838
66	2.520734391
67	2.481129141
68	2.441263228
69	2.407073023
70	2.375514914
71	2.340661661
72	2.307396424
73	2.276908333
74	2.247864862
75	2.221332469
76	2.194260009
77	2.169500122
78	2.143601375
79	2.119936731
80	2.099303897
81	2.078725734
82	2.056444768
83	2.03357841
84	2.013857342
85	1.995696372
86	1.978638479
87	1.959811219
88	1.943290945
89	1.926054524
90	1.913026144
91	1.897345871
92	1.880965288
93	1.865224865
94	1.851008582
95	1.837403338
96	1.82249331
97	1.806803243
98	1.793103064
99	1.779843365
100	1.767551738
101	1.755808073
102	1.74423537
103	1.73389077
104	1.725226413
105	1.713542388
106	1.704158419
107	1.692853768
108	1.682351231
109	1.672867797
110	1.662750924
111	1.656225494
112	1.64700868
113	1.639567813
114	1.629451808
115	1.620903701
116	1.614926774
117	1.607196671
118	1.600140333
119	1.592230612
120	1.582560166
121	1.575745301
122	1.568244264
123	1.56261616
124	1.555012829
125	1.549091309
126	1.542912761
127	1.536576236
128	1.530847114
129	1.526342223
130	1.518699152
131	1.5123091
132	1.505491903
133	1.500070772
134	1.494111686
135	1.488515266
136	1.483848395
137	1.477522076
138	1.472691665
139	1.46782537
140	1.462319707
141	1.458571767
142	1.453397048
143	1.449238895
144	1.443357322
145	1.43711219
146	1.431922457
147	1.428575748
148	1.425559178
149	1.421603724
150	1.41810478
151	1.413166505
152	1.409957879
153	1.404727407
154	1.399994544
155	1.394946043
156	1.390644805
157	1.38341077
158	1.378908322
159	1.374193913
160	1.369997972
161	1.366419853
162	1.361864341
163	1.358706657
164	1.353742606
165	1.350537888
166	1.344777245
167	1.34048785
168	1.336295161
169	1.330922288
170	1.326846098
171	1.322993012
172	1.317001045
173	1.311887195
174	1.308807901
175	1.305998322
176	1.302194488
177	1.297705354
178	1.291622898
179	1.288118266
180	1.285546179
181	1.281020581
182	1.278052718
183	1.274078543
184	1.267970321
185	1.264643363
186	1.262361978
187	1.260405156
188	1.256438478
189	1.252762669
190	1.249776395
191	1.247218585
192	1.242175085
193	1.238876908
194	1.235262107
195	1.232468639
196	1.229353061
197	1.226251881
198	1.224616627
199	1.222681752
200	1.219880432
201	1.216552735
202	1.213932316
203	1.210966757
204	1.207285437
205	1.203991022
206	1.200360408
207	1.195036978
208	1.192552593
209	1.188886023
210	1.183966258
211	1.17830807
212	1.174318559
213	1.170420232
214	1.167894265
215	1.162878287
216	1.160037286
217	1.155753608
218	1.152933089
219	1.150970995
220	1.147525765
221	1.145307619
222	1.141621876
223	1.137964194
224	1.135422248
225	1.130791015
226	1.128237254
227	1.125019463
228	1.121107684
229	1.117039734
230	1.114569126
