iter	Passed	Remaining
0	6	6297
1	12	6305
2	16	5534
3	20	5128
4	27	5412
5	32	5316
6	36	5130
7	41	5205
8	50	5572
9	64	6343
10	76	6836
11	93	7705
12	101	7704
13	111	7845
14	123	8126
15	132	8122
16	143	8314
17	150	8219
18	159	8213
19	165	8122
20	177	8259
21	189	8411
22	204	8705
23	213	8685
24	224	8751
25	230	8648
26	239	8638
27	248	8614
28	256	8594
29	262	8487
30	271	8494
31	278	8421
32	286	8401
33	291	8295
34	300	8285
35	306	8212
36	315	8206
37	321	8138
38	326	8044
39	334	8034
40	340	7966
41	348	7947
42	353	7868
43	363	7892
44	375	7959
45	381	7922
46	386	7842
47	434	8613
48	449	8716
49	463	8807
50	508	9457
51	520	9484
52	533	9538
53	568	9957
54	582	10006
55	598	10097
56	614	10163
57	629	10217
58	640	10212
59	646	10131
60	655	10085
61	687	10406
62	698	10384
63	705	10324
64	712	10252
65	719	10188
66	725	10096
67	730	10006
68	736	9934
69	740	9844
70	746	9762
71	752	9697
72	757	9618
73	762	9541
74	769	9486
75	774	9412
76	779	9340
77	786	9291
78	790	9219
79	795	9153
80	805	9139
81	815	9127
82	821	9080
83	828	9031
84	837	9012
85	842	8951
86	848	8906
87	853	8847
88	859	8793
89	865	8753
90	870	8696
91	875	8644
92	882	8603
93	887	8554
94	893	8508
95	898	8460
96	903	8411
97	910	8383
98	917	8349
99	922	8303
100	929	8272
101	936	8240
102	944	8224
103	950	8189
104	958	8171
105	964	8135
106	970	8098
107	978	8080
108	984	8048
109	992	8026
110	998	7995
111	1006	7979
112	1014	7963
113	1022	7944
114	1029	7920
115	1036	7895
116	1043	7873
117	1049	7843
118	1057	7829
119	1063	7799
120	1071	7787
121	1080	7778
122	1088	7760
123	1094	7731
124	1100	7701
125	1107	7684
126	1114	7662
127	1122	7646
128	1129	7623
129	1135	7602
130	1140	7568
131	1145	7535
132	1152	7513
133	1157	7480
134	1161	7445
135	1168	7423
136	1173	7389
137	1178	7358
138	1184	7336
139	1189	7305
140	1194	7274
141	1200	7253
142	1205	7223
143	1210	7193
144	1218	7182
145	1223	7153
146	1229	7135
147	1234	7107
148	1239	7079
149	1246	7061
150	1251	7034
151	1256	7008
152	1262	6991
153	1268	6966
154	1272	6939
155	1280	6925
156	1285	6900
157	1291	6882
158	1296	6858
159	1301	6833
160	1309	6821
161	1315	6805
162	1320	6781
163	1328	6771
164	1334	6755
165	1341	6740
166	1346	6717
167	1351	6693
168	1358	6679
169	1363	6656
170	1368	6632
171	1374	6618
172	1379	6595
173	1384	6573
174	1391	6559
175	1396	6537
176	1401	6514
177	1408	6504
178	1414	6487
179	1421	6473
180	1425	6452
181	1430	6430
182	1437	6418
183	1442	6398
184	1448	6380
185	1455	6371
186	1461	6355
187	1469	6345
188	1475	6330
189	1480	6312
190	1487	6300
191	1493	6285
192	1501	6278
193	1507	6264
194	1513	6249
195	1522	6243
196	1529	6233
197	1536	6223
198	1542	6209
199	1549	6199
200	1556	6186
201	1561	6169
202	1570	6165
203	1576	6152
204	1585	6147
205	1591	6135
206	1599	6126
207	1605	6114
208	1613	6107
209	1621	6098
210	1626	6081
211	1633	6072
212	1639	6057
213	1646	6047
214	1651	6030
215	1657	6015
216	1663	6003
217	1668	5985
218	1673	5968
219	1679	5955
220	1684	5938
221	1689	5921
222	1696	5909
223	1701	5892
224	1705	5876
225	1712	5865
226	1717	5850
227	1723	5836
228	1736	5845
229	1743	5837
230	1751	5830
231	1765	5843
232	1773	5837
233	1785	5843
234	1794	5840
235	1799	5825
236	1805	5811
237	1810	5797
238	1816	5783
239	1823	5774
240	1830	5766
241	1836	5753
242	1842	5739
243	1847	5723
244	1853	5712
245	1858	5696
246	1863	5680
247	1870	5670
248	1875	5656
249	1880	5641
250	1886	5629
251	1891	5614
252	1896	5599
253	1903	5589
254	1908	5576
255	1914	5564
256	1922	5558
257	1928	5546
258	1934	5535
259	1940	5522
260	1945	5509
261	1952	5500
262	1957	5485
263	1963	5473
264	1971	5468
265	1977	5457
266	1985	5451
267	1991	5440
268	1999	5432
269	2005	5423
270	2013	5415
271	2019	5406
272	2026	5395
